db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,1,1,ours,1,ok,,,0.128,18.456,36.869,2.507,325.541,10810387,75072,4804576,1584188,600569,299856,0,149352,1,1,eval_ms=0.128 artifact_load_ms=18.456 artifact_parse_ms=9.660 stamp_ms=13.751 bin_ms=4.987 local_sat_ms=0.281 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=36.869 ctid_map_ms=2.507 filter_ms=325.541 child_exec_ms=84.915 ctid_extract_ms=85.583 ctid_to_rid_ms=14.059 allow_check_ms=12.807 projection_ms=39.346 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=10810387 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600569 rows_passed=299856 ctid_misses=0 rss_kb_before_eval=29524 rss_kb_after_eval=29524 rss_kb_after_load=46416 rss_kb_after_engine=63360 rss_kb_after_ctid=63360 rss_kb_end=149352 peak_rss_kb_end=149352
tpch0_1,1,1,ours,3,ok,,,0.132,17.963,37.214,2.467,201.833,10810387,75072,4804576,1584188,398751,98035,0,173028,1,1,eval_ms=0.132 artifact_load_ms=17.963 artifact_parse_ms=10.015 stamp_ms=13.427 bin_ms=4.959 local_sat_ms=0.290 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.214 ctid_map_ms=2.467 filter_ms=201.833 child_exec_ms=93.832 ctid_extract_ms=37.924 ctid_to_rid_ms=7.625 allow_check_ms=6.931 projection_ms=8.728 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=10810387 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=398751 rows_passed=98035 ctid_misses=0 rss_kb_before_eval=30548 rss_kb_after_eval=30548 rss_kb_after_load=46608 rss_kb_after_engine=63700 rss_kb_after_ctid=63700 rss_kb_end=172136 peak_rss_kb_end=173028
tpch0_1,1,1,ours,6,ok,,,0.120,18.555,37.064,2.526,79.378,10810387,75072,4804576,1584188,11482,11482,0,149316,1,1,eval_ms=0.120 artifact_load_ms=18.555 artifact_parse_ms=9.819 stamp_ms=13.521 bin_ms=4.980 local_sat_ms=0.288 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.064 ctid_map_ms=2.526 filter_ms=79.378 child_exec_ms=74.099 ctid_extract_ms=1.294 ctid_to_rid_ms=0.430 allow_check_ms=0.259 projection_ms=1.202 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=10810387 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=11482 rows_passed=11482 ctid_misses=0 rss_kb_before_eval=29012 rss_kb_after_eval=29012 rss_kb_after_load=45280 rss_kb_after_engine=62876 rss_kb_after_ctid=62876 rss_kb_end=149316 peak_rss_kb_end=149316
tpch0_1,1,1,ours,13,ok,,,0.076,0.000,0.000,0.000,74.078,0,0,0,0,163292,163292,0,61268,2,1,eval_ms=0.076 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=74.078 child_exec_ms=47.473 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=12.682 n_scanned_tables=2 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=163292 rows_passed=163292 ctid_misses=0 rss_kb_before_eval=29524 rss_kb_after_eval=29524 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=59912 peak_rss_kb_end=61268
tpch0_1,5,"1,2,3,4,5",ours,1,ok,,,0.542,53.995,225.830,2.572,267.813,26776002,75072,4804576,1584188,600569,0,0,160132,1,1,eval_ms=0.542 artifact_load_ms=53.995 artifact_parse_ms=31.874 stamp_ms=157.140 bin_ms=7.868 local_sat_ms=4.483 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=225.830 ctid_map_ms=2.572 filter_ms=267.813 child_exec_ms=86.928 ctid_extract_ms=80.909 ctid_to_rid_ms=13.944 allow_check_ms=12.988 projection_ms=0.000 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776002 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600569 rows_passed=0 ctid_misses=0 rss_kb_before_eval=30036 rss_kb_after_eval=30036 rss_kb_after_load=67940 rss_kb_after_engine=90428 rss_kb_after_ctid=90428 rss_kb_end=160132 peak_rss_kb_end=160132
tpch0_1,5,"1,2,3,4,5",ours,3,ok,,,0.578,53.807,227.458,2.585,167.321,26776002,75072,4804576,1584188,322795,0,0,161536,1,1,eval_ms=0.578 artifact_load_ms=53.807 artifact_parse_ms=31.443 stamp_ms=161.495 bin_ms=5.468 local_sat_ms=4.482 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=227.458 ctid_map_ms=2.585 filter_ms=167.321 child_exec_ms=75.554 ctid_extract_ms=37.954 ctid_to_rid_ms=7.538 allow_check_ms=6.938 projection_ms=0.000 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776002 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=322795 rows_passed=0 ctid_misses=0 rss_kb_before_eval=31572 rss_kb_after_eval=31572 rss_kb_after_load=69128 rss_kb_after_engine=91880 rss_kb_after_ctid=91880 rss_kb_end=160852 peak_rss_kb_end=161536
tpch0_1,5,"1,2,3,4,5",ours,6,ok,,,0.560,54.069,223.848,2.618,54.941,26776002,75072,4804576,1584188,11482,0,0,162856,1,1,eval_ms=0.560 artifact_load_ms=54.069 artifact_parse_ms=32.153 stamp_ms=156.845 bin_ms=5.853 local_sat_ms=4.489 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=223.848 ctid_map_ms=2.618 filter_ms=54.941 child_exec_ms=52.462 ctid_extract_ms=0.258 ctid_to_rid_ms=0.489 allow_check_ms=0.278 projection_ms=0.000 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776002 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=11482 rows_passed=0 ctid_misses=0 rss_kb_before_eval=28612 rss_kb_after_eval=28612 rss_kb_after_load=66484 rss_kb_after_engine=89536 rss_kb_after_ctid=89536 rss_kb_end=162856 peak_rss_kb_end=162856
tpch0_1,5,"1,2,3,4,5",ours,13,ok,,,0.241,0.000,0.000,0.000,74.497,0,0,0,0,163292,163292,0,61364,2,1,eval_ms=0.241 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=74.497 child_exec_ms=47.802 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=12.779 n_scanned_tables=2 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=163292 rows_passed=163292 ctid_misses=0 rss_kb_before_eval=28548 rss_kb_after_eval=28548 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=59996 peak_rss_kb_end=61364
tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,1,ok,,,0.723,53.559,222.793,2.569,268.120,26776002,75072,4804576,1584188,600569,0,0,133636,1,1,eval_ms=0.723 artifact_load_ms=53.559 artifact_parse_ms=31.687 stamp_ms=156.418 bin_ms=5.431 local_sat_ms=4.465 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=222.793 ctid_map_ms=2.569 filter_ms=268.120 child_exec_ms=86.438 ctid_extract_ms=81.542 ctid_to_rid_ms=13.918 allow_check_ms=13.010 projection_ms=0.000 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776002 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600569 rows_passed=0 ctid_misses=0 rss_kb_before_eval=29016 rss_kb_after_eval=29016 rss_kb_after_load=67468 rss_kb_after_engine=89948 rss_kb_after_ctid=89948 rss_kb_end=133636 peak_rss_kb_end=133636
tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,3,ok,,,1.064,59.687,302.818,3.458,167.858,30629721,95697,6124576,2015304,322795,0,0,170192,1,1,eval_ms=1.064 artifact_load_ms=59.687 artifact_parse_ms=33.218 stamp_ms=156.884 bin_ms=5.511 local_sat_ms=6.041 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=302.818 ctid_map_ms=3.458 filter_ms=167.858 child_exec_ms=75.940 ctid_extract_ms=37.996 ctid_to_rid_ms=7.615 allow_check_ms=6.930 projection_ms=0.000 n_scanned_tables=3 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=30629721 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=322795 rows_passed=0 ctid_misses=0 rss_kb_before_eval=31064 rss_kb_after_eval=31064 rss_kb_after_load=74676 rss_kb_after_engine=100868 rss_kb_after_ctid=100868 rss_kb_end=169504 peak_rss_kb_end=170192
tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,6,ok,,,0.752,54.476,228.219,2.585,55.153,26776002,75072,4804576,1584188,11482,0,0,163724,1,1,eval_ms=0.752 artifact_load_ms=54.476 artifact_parse_ms=31.909 stamp_ms=161.798 bin_ms=5.393 local_sat_ms=4.522 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=228.219 ctid_map_ms=2.585 filter_ms=55.153 child_exec_ms=52.646 ctid_extract_ms=0.261 ctid_to_rid_ms=0.515 allow_check_ms=0.279 projection_ms=0.000 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776002 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=11482 rows_passed=0 ctid_misses=0 rss_kb_before_eval=29016 rss_kb_after_eval=29016 rss_kb_after_load=66872 rss_kb_after_engine=89940 rss_kb_after_ctid=89940 rss_kb_end=163724 peak_rss_kb_end=163724
tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,13,ok,,,0.773,8.504,91.767,0.782,87.446,3853719,20625,1320000,431116,163292,15000,0,74680,1,1,eval_ms=0.773 artifact_load_ms=8.504 artifact_parse_ms=3.640 stamp_ms=0.338 bin_ms=0.124 local_sat_ms=0.686 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=91.767 ctid_map_ms=0.782 filter_ms=87.446 child_exec_ms=46.775 ctid_extract_ms=11.651 ctid_to_rid_ms=3.873 allow_check_ms=3.532 projection_ms=0.887 n_scanned_tables=2 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=3853719 bytes_allow=20625 bytes_ctid=1320000 bytes_blk_index=431116 rows_seen=163292 rows_passed=15000 ctid_misses=0 rss_kb_before_eval=30072 rss_kb_after_eval=30072 rss_kb_after_load=37240 rss_kb_after_engine=50384 rss_kb_after_ctid=50384 rss_kb_end=73668 peak_rss_kb_end=74680
